"CH1:1x_x","CH1:1x_y","CH1:2x_x","CH1:2x_y","CH1:4x_x","CH1:4x_y","CH1:5x_x","CH1:5x_y","CH1:8x_x","CH1:8x_y","CH1:10x_x","CH1:10x_y","CH1:16x_x","CH1:16x_y","CH1:32x_x","CH1:32x_y","CH2:1x_x","CH2:1x_y","CH2:2x_x","CH2:2x_y","CH2:4x_x","CH2:4x_y","CH2:5x_x","CH2:5x_y","CH2:8x_x","CH2:8x_y","CH2:10x_x","CH2:10x_y","CH2:16x_x","CH2:16x_y","CH2:32x_x","CH2:32x_y"
2220,0.3257239,2220,0.3075089,2220,0.2982843,2220,0.2972317,3000,1.568082, , , , , , ,2220,0.2636374,2220,0.2503835,2220,0.2444629,2220,0.2427484,3000,1.511687, , , , , , ,
2250,0.3747303,2250,0.3569938,2250,0.3476232,2250,0.3460175,3030,1.617101, , , , , , ,2250,0.3121653,2250,0.2997827,2250,0.2935084,2250,0.2918234,3030,1.560579, , , , , , ,
2280,0.4238123,2280,0.4058441,2280,0.3963803,2280,0.3949755,3060,1.66629, , , , , , ,2280,0.361217,2280,0.3485549,2280,0.3423133,2280,0.3408358,3060,1.609661, , , , , , ,
2310,0.4726777,2310,0.4547875,2310,0.4452242,2310,0.443991,3090,1.715165, , , , , , ,2310,0.4101076,2310,0.3976394,2310,0.3912379,2310,0.3899067,3090,1.658659, , , , , , ,
2340,0.5225201,2340,0.5038796,2340,0.4945643,2340,0.4929632,3120,1.764361, , , , , , ,2340,0.4589931,2340,0.4465023,2340,0.4401511,2340,0.438207,3120,1.707258, , , , , , ,
2370,0.5711992,2370,0.5525208,2370,0.5432434,2370,0.5420008,3150,1.812987, , , , , , ,2370,0.5072541,2370,0.4957832,2370,0.4892834,2370,0.4873282,3150,1.756245, , , , , , ,
2400,0.6198379,2400,0.6003159,2400,0.5913268,2400,0.590155,3180,1.861214, , , , , , ,2400,0.5565577,2400,0.5426944,2400,0.5367071,2400,0.5352437,3180,1.804572, , , , , , ,
2430,0.667565,2430,0.6486575,2430,0.6392705,2430,0.6381471,3210,1.910589, , , , , , ,2430,0.6039725,2430,0.5907891,2430,0.5846117,2430,0.5831803,3210,1.853189, , , , , , ,
2460,0.7168484,2460,0.6975909,2460,0.6881296,2460,0.6869288,3240,1.959553, , , , , , ,2460,0.653266,2460,0.6396319,2460,0.6336622,2460,0.6318321,3240,1.902431, , , , , , ,
2490,0.7654368,2490,0.7467081,2490,0.7372304,2490,0.7361176,3270,2.008976, , , , , , ,2490,0.7014061,2490,0.6885829,2490,0.68269,2490,0.6806824,3270,1.951638, , , , , , ,
